Verein_nr;Spieler Name;player_nr;Datum;old_club_name;old_club_nr;old_club_country;new_club_name;new_club_nr;new_club_country;MW;Ablöse
;;395512;01.07.2023;red bull salzburg;409;Austria;fc lausanne sport;527;Switzerland;1,00 Mio €;2,20 Mio €
;;395512;30.06.2023;fc lausanne sport;527;Switzerland;red bull salzburg;409;Austria;1,00 Mio €;Leih Ende
;;395512;09.01.2023;red bull salzburg;409;Austria;fc lausanne sport;527;Switzerland;2,00 Mio €;Leihe
;;395512;06.02.2019;fc paris saint germain;583;France;red bull salzburg;409;Austria;3,00 Mio €;ablösefrei
;;395512;01.07.2018;fc paris saint germain b;8512;France;fc paris saint germain;583;France;-;-
;;395512;01.07.2016;fc paris saint germain u19;6326;France;fc paris saint germain b;8512;France;-;-
;;395512;01.07.2015;fc paris saint germain u17;54295;France;fc paris saint germain u19;6326;France;-;-
;;583058;13.11.2020;fc lausanne sport ii;15446;Switzerland;fc lausanne sport;527;Switzerland;-;-
;;583058;01.07.2020;fc lausanne sport u18;27999;Switzerland;fc lausanne sport ii;15446;Switzerland;-;-
;;583058;01.07.2019;fc lausanne sport u16;14197;Swie;fc lausanne sport u18;27999;Switzerland;-;-
;;68655;29.08.2018;fc st gallen 1879;257;Switzerland;fc lausanne sport;527;Switzerland;800 Tsd €;?
;;68655;01.07.2017;fc vaduz;163;Lichtenstein;fc st gallen 1879;257;Switzerland;600 Tsd €;171 Tsd €
;;68655;01.07.2015;ferencvarosi tc;279;Hungary;fc vaduz;163;Lichtenstein;400 Tsd €;ablösefrei
;;68655;01.07.2014;fc zurich;260;Switzerland;ferencvarosi tc;279;Hungary;500 Tsd €;ablösefrei
;;68655;30.06.2010;fc thun;938;Switzerland;fc zurich;260;Switzerland;400 Tsd €;Leih Ende
;;68655;01.01.2010;fc zurich;260;Switzerland;fc thun;938;Switzerland;200 Tsd €;Leihe
;;68655;08.12.2009;fc thun;938;Switzerland;fc zurich;260;Switzerland;200 Tsd €;ablösefrei
;;68655;01.01.2008;fc thun u21;10400;Switzerland;fc thun;938;Switzerland;-;-
;;534360;30.06.2024;fc lausanne sport;527;Switzerland;bsc young boys;452;Switzerland;600 Tsd €;Leih Ende
;;534360;06.02.2024;bsc young boys;452;Switzerland;fc lausanne sport;527;Switzerland;400 Tsd €;Leihe
;;534360;01.07.2022;fc aarau;116;Switzerland;bsc young boys;452;Switzerland;500 Tsd €;?
;;534360;09.08.2019;fc black stars basel;10724;Switzerland;fc aarau;116;Switzerland;-;ablösefrei
;;534360;01.07.2018;as timau basel;30408;Switzerland;fc black stars basel;10724;Switzerland;-;ablösefrei
;;534360;01.07.2017;fc brunstatt;79021;France;as timau basel;30408;Switzerland;-;ablösefrei
;;876400;31.12.2024;fc lausanne sport;527;Switzerland;udinese calcio;410;Italy;10,00 Mio €;Leih Ende
;;876400;25.01.2024;udinese calcio;410;Italy;fc lausanne sport;527;Switzerland;8,00 Mio €;Leihe
;;876400;01.07.2022;udinese calcio u19;10959;Italy;udinese calcio;410;Italy;-;-
;;876400;01.07.2021;udinese calcio u17;49869;Italy;udinese calcio u19;10959;Italy;-;-
;;812654;30.06.2024;fc lausanne sport;527;Switzerland;ogc nizza;417;France;3,30 Mio €;Leih Ende
;;812654;01.07.2023;ogc nizza;417;France;fc lausanne sport;527;Switzerland;2,50 Mio €;Leihe
;;812654;30.06.2023;maccabi tel aviv;119;Israel;ogc nizza;417;France;2,50 Mio €;Leih Ende
;;812654;01.02.2023;ogc nizza;417;France;maccabi tel aviv;119;Israel;3,00 Mio €;Leihe
;;812654;16.07.2022;fc rapid bukarest;455;Romania;ogc nizza;417;France;1,30 Mio €;4,00 Mio €
;;812654;16.09.2020;fc rapid 1923 u19;14297;Romania;fc rapid bukarest;455;Romania;-;-
;;812654;01.07.2019;fc metaloglobus bukarest;37624;Romania;fc rapid 1923 u19;14297;Romania;-;1,00 Mio €
;;433254;01.07.2021;fc arsenal u21;9249;England;fc lausanne sport;527;Romania;-;?
;;433254;13.01.2021;fc gillingham;2814;England;fc arsenal u21;9249;England;-;Leih Ende
;;433254;13.08.2020;fc arsenal u21;9249;England;fc gillingham;2814;England;-;Leihe
;;433254;01.07.2019;fc arsenal u18;5679;England;fc arsenal u21;9249;England;-;-
;;433254;01.07.2017;fc arsenal jugend;50683;England;fc arsenal u18;5679;England;-;-
;;424051;30.06.2024;fc lausanne sport;527;Switzerland;fc watford;1010;England;2,50 Mio €;Leih Ende
;;424051;07.09.2023;fc watford;1010;England;fc lausanne sport;527;Switzerland;2,50 Mio €;Leihe
;;424051;26.01.2022;fc girondins bordeaux;40;France;fc watford;1010;England;5,50 Mio €;3,00 Mio €
;;424051;06.08.2018;kaa gent;157;Belgium;fc girondins bordeaux;40;France;5,00 Mio €;8,50 Mio €
;;424051;04.01.2017;as trencin;7918;Russia;kaa gent;157;Belgium;200 Tsd €;1,00 Mio €
;;424051;01.01.2016;gbs academy;59683;Nigeria;as trencin;7918;Russia;-;ablösefrei
;;364861;07.09.2023;fk partizan belgrad;669;Serbia;fc lausanne sport;527;Switzerland;5,00 Mio €;600 Tsd €
;;364861;07.07.2022;trabzonspor;449;Tï¿½rkiye;fk partizan belgrad;669;Serbia;2,70 Mio €;30 Tsd €
;;364861;30.06.2022;giresunspor;11688;Tï¿½rkiye;trabzonspor;449;Tï¿½rkiye;2,70 Mio €;Leih Ende
;;364861;07.08.2021;trabzonspor;449;Tï¿½rkiye;giresunspor;11688;Tï¿½rkiye;2,30 Mio €;Leihe
;;364861;30.06.2021;goztepe;1467;Tï¿½rkiye;trabzonspor;449;Tï¿½rkiye;2,30 Mio €;Leih Ende
;;364861;20.01.2021;trabzonspor;449;Tï¿½rkiye;goztepe;1467;Tï¿½rkiye;1,80 Mio €;Leihe
;;364861;25.09.2020;leicester city;1003;England;trabzonspor;449;Tï¿½rkiye;2,20 Mio €;1,57 Mio €
