Verein_nr;Spieler Name;player_nr;Datum;old_club_name;old_club_nr;old_club_country;new_club_name;new_club_nr;new_club_country;MW;Ablöse
;;395671;10.01.2022;dijon fco;2969;France;bsc young boys;452;;1,00 Mio €;?
;;395671;25.09.2020;olympique lyon;1041;France;dijon fco;2969;France;450 Tsd €;ablösefrei
;;395671;01.07.2018;olympique lyon b;12764;France;olympique lyon;1041;France;-;-
;;395671;01.07.2017;olympique lyon u19;7813;France;olympique lyon b;12764;France;-;-
;;203124;30.06.2017;fc winterthur;242;Switzerland;bsc young boys;452;Switzerland;500 Tsd €;Leih Ende
;;203124;01.07.2015;bsc young boys;452;Switzerland;fc winterthur;242;Switzerland;50 Tsd €;Leihe
;;203124;01.07.2013;bsc young boys u21;5508;Switzerland;bsc young boys;452;Switzerland;-;-
;;203124;01.07.2012;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;254968;08.07.2022;fc schaffhausen;1277;Switzerland;bsc young boys;452;Switzerland;150 Tsd €;ablösefrei
;;254968;23.09.2021;;515;;fc schaffhausen;1277;Switzerland;300 Tsd €;-
;;254968;01.07.2021;bsc young boys;452;Switzerland;;515;;300 Tsd €;-
;;254968;30.06.2021;fc winterthur;242;Switzerland;bsc young boys;452;Switzerland;300 Tsd €;Leih Ende
;;254968;08.09.2020;bsc young boys;452;Switzerland;fc winterthur;242;Switzerland;150 Tsd €;Leihe
;;254968;01.07.2015;bsc young boys u21;5508;Switzerland;bsc young boys;452;Switzerland;100 Tsd €;-
;;254968;01.07.2014;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;254968;01.07.2013;bsc young boys u17;32283;Switzerland;bsc young boys u18;14438;Switzerland;-;-
;;635645;30.06.2024;bsc young boys;452;Switzerland;eintracht frankfurt;24;Germany;8,00 Mio €;Leih Ende
;;635645;25.01.2024;eintracht frankfurt;24;Germany;bsc young boys;452;Switzerland;5,00 Mio €;Leihe
;;635645;24.01.2024;bsc young boys;452;Switzerland;eintracht frankfurt;24;Germany;5,00 Mio €;9,50 Mio €
;;635645;01.01.2022;bsc young boys u21;5508;Switzerland;bsc young boys;452;Switzerland;25 Tsd €;-
;;635645;01.07.2020;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;635645;01.07.2019;bsc young boys u17;32283;Switzerland;bsc young boys u18;14438;Switzerland;-;-
;;635645;01.07.2018;bsc young boys u16;32282;Switzerland;bsc young boys u17;32283;Switzerland;-;-
;;426723;06.07.2018;hapoel raanana;20857;Israel;bsc young boys;452;Switzerland;-;1,50 Mio €
;;426723;11.07.2017;horoya ac;8474;Guinea;hapoel raanana;20857;Israel;-;?
;;426723;30.06.2017;hafia fc;25644;Guinea;horoya ac;8474;Guinea;-;Leih Ende
;;426723;23.01.2017;horoya ac;8474;Guinea;hafia fc;25644;Guinea;-;Leihe
;;426723;16.02.2016;satellite fc;2993;Guinea;horoya ac;8474;Guinea;-;ablösefrei
;;365107;15.02.2024;fc lausanne sport;527;Switzerland;bsc young boys;452;Switzerland;800 Tsd €;?
;;365107;27.07.2021;fc lausanne sport ii;15446;Switzerland;fc lausanne sport;527;Switzerland;-;-
;;365107;01.01.2020;fc lausanne sport u18;27999;Switzerland;fc lausanne sport ii;15446;Switzerland;-;-
;;365107;01.07.2018;fc lausanne sport u16;14197;Switzerland;fc lausanne sport u18;27999;Switzerland;-;-
;;119085;04.07.2022;fc sion;321;Switzerland;bsc young boys;452;Switzerland;800 Tsd €;800 Tsd €
;;119085;31.01.2022;;515;;fc sion;321;Switzerland;2,50 Mio €;-
;;119085;31.08.2021;fc girondins bordeaux;40;France;;515;;3,00 Mio €;-
;;119085;02.07.2019;bsc young boys;452;Switzerland;fc girondins bordeaux;40;France;4,00 Mio €;ablösefrei
;;119085;01.07.2015;benfica lissabon;294;Portugal;bsc young boys;452;Switzerland;2,50 Mio €;3,00 Mio €
;;119085;08.07.2014;fc zurich;260;Switzerland;benfica lissabon;294;Portugal;2,25 Mio €;3,00 Mio €
;;119085;01.02.2012;fc aarau;116;Switzerland;fc zurich;260;Switzerland;350 Tsd €;ablösefrei
;;119085;01.07.2009;team aargau u21;8087;Switzerland;fc aarau;116;Switzerland;-;-
;;42203;01.07.2024;bsc young boys;452;Switzerland;;123;;100 Tsd €;-
;;42203;01.07.2019;hertha bsc;44;Germany;bsc young boys;452;Switzerland;2,50 Mio €;ablösefrei
;;42203;10.08.2007;fc luzern;434;Switzerland;hertha bsc;44;Germany;600 Tsd €;1,50 Mio €
;;42203;01.07.2006;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;-;-
;;42203;01.07.2005;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;42203;01.07.2004;fc luzern jugend;42249;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;750903;19.01.2024;fc nantes;995;France;bsc young boys;452;Switzerland;1,50 Mio €;1,30 Mio €
;;750903;17.01.2023;paris fc;10004;France;fc nantes;995;France;800 Tsd €;300 Tsd €
;;750903;01.07.2020;paris fc u19;20290;France;paris fc;10004;France;-;-
;;750903;01.07.2019;paris fc jugend;83018;France;paris fc u19;20290;France;-;-
;;750903;01.07.2018;us creteil lusitanos jugend;83019;France;paris fc jugend;83018;France;-;ablösefrei
;;750903;01.07.2015;fc paris saint germain jugend;82891;France;us creteil lusitanos jugend;83019;France;-;ablösefrei
;;867674;30.06.2023;mjallby aif;2719;Sweden;bsc young boys;452;Switzerland;1,20 Mio €;Leih Ende
;;867674;08.02.2023;bsc young boys;452;Switzerland;mjallby aif;2719;Sweden;600 Tsd €;Leihe
;;867674;07.02.2023;mjallby aif;2719;Sweden;bsc young boys;452;Switzerland;600 Tsd €;1,00 Mio €
;;867674;20.08.2021;mjallby aif u19;9019;Sweden;mjallby aif;2719;Sweden;-;-
;;867674;01.01.2021;mjallby aif u17;41035;Sweden;mjallby aif u19;9019;Sweden;-;-
;;867674;01.01.2020;mjallby aif jugend;104725;Sweden;mjallby aif u17;41035;Sweden;-;-
;;867674;01.01.2019;;75;;mjallby aif jugend;104725;Sweden;-;ablösefrei
;;507455;03.01.2022;yverdon sport fc;322;Switzerland;bsc young boys;452;Switzerland;250 Tsd €;Leih Ende
;;507455;02.07.2021;bsc young boys;452;Switzerland;yverdon sport fc;322;Switzerland;-;Leihe
;;507455;01.07.2021;bsc young boys u21;5508;Switzerland;bsc young boys;452;Switzerland;-;-
;;507455;01.07.2019;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;507455;01.07.2018;bsc young boys u16;32282;Switzerland;bsc young boys u18;14438;Switzerland;-;-
;;196435;01.07.2023;real valladolid;366;Spain;bsc young boys;452;Switzerland;1,00 Mio €;500 Tsd €
;;196435;30.06.2023;vfl bochum;80;Germany;real valladolid;366;Spain;1,00 Mio €;Leih Ende
;;196435;01.07.2022;real valladolid;366;Spain;vfl bochum;80;Germany;1,00 Mio €;Leihgebühr:300 Tsd €
;;196435;01.10.2020;fc porto;720;Portugal;real valladolid;366;Spain;2,00 Mio €;1,90 Mio €
;;196435;12.08.2020;bsc young boys;452;Switzerland;fc porto;720;Portugal;2,00 Mio €;Leih Ende
;;196435;01.07.2019;fc porto;720;Portugal;bsc young boys;452;Switzerland;2,00 Mio €;Leihe
;;196435;30.06.2019;nottingham forest;703;England;fc porto;720;Portugal;2,00 Mio €;Leih Ende
;;196435;31.08.2018;fc porto;720;Portugal;nottingham forest;703;England;3,00 Mio €;Leihe
;;196435;01.07.2018;as saint etienne;618;France;fc porto;720;Portugal;3,00 Mio €;2,20 Mio €
;;196435;07.07.2017;celtic glasgow;371;Scotland;as saint etienne;618;France;500 Tsd €;?
;;196435;30.06.2017;fc barnsley;349;England;celtic glasgow;371;Scotland;500 Tsd €;Leih Ende
;;196435;31.08.2016;celtic glasgow;371;Scotland;fc barnsley;349;England;500 Tsd €;Leihe
;;196435;01.07.2015;manchester united u21;9251;England;celtic glasgow;371;Scotland;250 Tsd €;280 Tsd €
;;196435;31.05.2015;bolton wanderers;355;England;manchester united u21;9251;England;250 Tsd €;Leih Ende
;;196435;02.02.2015;manchester united u21;9251;England;bolton wanderers;355;England;-;Leihe
;;196435;02.09.2013;fc zurich u18;14537;Switzerland;manchester united u21;9251;England;-;830 Tsd €
;;196435;01.07.2011;fc zurich u17;33982;Switzerland;fc zurich u18;14537;Switzerland;-;-
;;644032;03.02.2022;losc lille;1082;France;bsc young boys;452;Switzerland;1,00 Mio €;900 Tsd €
;;644032;30.06.2021;panathinaikos athen;265;Greece;losc lille;1082;France;800 Tsd €;Leih Ende
;;644032;01.02.2021;losc lille;1082;France;panathinaikos athen;265;Greece;800 Tsd €;Leihe
;;644032;01.07.2020;losc lille b;12765;France;losc lille;1082;France;150 Tsd €;-
;;644032;01.07.2018;losc lille u19;7875;France;losc lille b;12765;France;-;-
;;254965;01.07.2018;fc thun;938;Switzerland;bsc young boys;452;Switzerland;800 Tsd €;1,50 Mio €
;;254965;05.02.2016;fc thun u21;10400;Switzerland;fc thun;938;Switzerland;100 Tsd €;-
;;254965;15.01.2015;bsc young boys u21;5508;Switzerland;fc thun u21;10400;Switzerland;-;ablösefrei
;;254965;01.07.2014;bsc young boys u18;14438;Switzerland;bsc young boys u21;5508;Switzerland;-;-
;;254965;01.07.2013;bsc young boys u16;32282;Switzerland;bsc young boys u18;14438;Switzerland;-;-
;;401598;01.07.2023;zaglebie lubin;168;Poland;bsc young boys;452;Switzerland;2,00 Mio €;1,40 Mio €
;;401598;12.01.2021;legia warschau ii;6628;Poland;zaglebie lubin;168;Poland;-;ablösefrei
;;401598;01.07.2019;legia warschau u19;14706;Poland;legia warschau ii;6628;Poland;-;-
;;401598;01.03.2018;legia warschau jugend;51026;Poland;legia warschau u19;14706;Poland;-;-
;;401598;01.01.2014;wisla pulawy jugend;104547;Poland;legia warschau jugend;51026;Poland;-;ablösefrei
;;507479;19.07.2023;inter mailand;46;Poland;bsc young boys;452;Switzerland;5,00 Mio €;2,00 Mio €
;;507479;30.06.2023;fc basel 1893;26;Switzerland;inter mailand;46;Poland;5,00 Mio €;Leih Ende
;;507479;09.07.2021;inter mailand;46;Italy;fc basel 1893;26;Switzerland;2,50 Mio €;Leihe
;;507479;30.06.2021;genua cfc;252;Italy;inter mailand;46;Italy;2,50 Mio €;Leih Ende
;;507479;29.06.2021;fc basel 1893;26;Switzerland;genua cfc;252;Italy;2,50 Mio €;Leih Ende
;;507479;15.02.2021;genua cfc;252;Italy;fc basel 1893;26;Switzerland;2,00 Mio €;Leihe
;;507479;25.09.2020;inter mailand;46;Italy;genua cfc;252;Italy;2,00 Mio €;Leihe
;;507479;16.09.2020;fc luzern;434;Switzerland;inter mailand;46;Italy;2,00 Mio €;2,50 Mio €
;;507479;01.07.2019;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;75 Tsd €;-
;;507479;01.07.2018;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;507479;01.07.2017;team fc luzern sc kriens u17;25022;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;394236;01.07.2022;fc luzern;434;Switzerland;bsc young boys;452;Switzerland;2,50 Mio €;2,00 Mio €
;;394236;30.06.2020;fc emmen;1283;Switzerland;fc luzern;434;Switzerland;525 Tsd €;Leih Ende
;;394236;03.07.2019;fc luzern;434;Switzerland;fc emmen;1283;Switzerland;750 Tsd €;Leihe
;;394236;01.07.2017;fc luzern u21;5494;Switzerland;fc luzern;434;Switzerland;300 Tsd €;-
;;394236;01.01.2016;team fc luzern sc kriens u18;14332;Switzerland;fc luzern u21;5494;Switzerland;-;-
;;394236;01.07.2014;fc luzern jugend;42249;Switzerland;team fc luzern sc kriens u18;14332;Switzerland;-;-
;;469957;16.08.2022;servette fc;61;Switzerland;bsc young boys;452;Switzerland;8,00 Mio €;3,00 Mio €
;;469957;01.07.2017;servette fc u18;5506;Switzerland;servette fc;61;Switzerland;-;-
;;700078;30.06.2024;bsc young boys;452;Switzerland;fc lorient;1158;France;4,00 Mio €;Leih Ende
;;700078;20.01.2024;fc lorient;1158;France;bsc young boys;452;Switzerland;4,00 Mio €;Leihe
;;700078;30.06.2023;fk bodo glimt;501;Norway;fc lorient;1158;France;4,50 Mio €;Leih Ende
;;700078;31.01.2023;fc lorient;1158;France;fk bodo glimt;501;Norway;1,30 Mio €;Leihe
;;700078;31.01.2023;fk bodo glimt;501;Norway;fc lorient;1158;France;1,30 Mio €;5,50 Mio €
;;700078;02.08.2021;asane fotball;14761;Norway;fk bodo glimt;501;Norway;100 Tsd €;1,10 Mio €
;;700078;11.02.2020;asane fotball ii;53625;Norway;asane fotball;14761;Norway;-;-
;;567217;30.06.2024;bsc young boys;452;Switzerland;atalanta bergamo;800;Italy;2,60 Mio €;Leih Ende
;;567217;01.09.2023;atalanta bergamo;800;Italy;bsc young boys;452;Switzerland;3,00 Mio €;Leihgebühr:250 Tsd €
;;567217;30.06.2023;fatih karagumruk;6646;Tï¿½rkiye;atalanta bergamo;800;Italy;3,00 Mio €;Leih Ende
;;567217;13.08.2022;atalanta bergamo;800;Italy;fatih karagumruk;6646;Tï¿½rkiye;3,20 Mio €;Leihgebühr:50 Tsd €
;;567217;30.06.2022;spezia calcio;3522;Italy;atalanta bergamo;800;Italy;3,20 Mio €;Leih Ende
;;567217;07.08.2021;atalanta bergamo;800;Italy;spezia calcio;3522;Italy;4,00 Mio €;Leihgebühr:600 Tsd €
;;567217;30.06.2021;hellas verona;276;Italy;atalanta bergamo;800;Italy;4,00 Mio €;Leih Ende
;;567217;23.09.2020;atalanta bergamo;800;Italy;hellas verona;276;Italy;800 Tsd €;Leihe
;;567217;01.02.2020;atalanta bergamo u19;11998;Italy;atalanta bergamo;800;Italy;300 Tsd €;-
;;805772;01.07.2023;grasshopper club zurich u21;5502;Switzerland;bsc young boys;452;Switzerland;150 Tsd €;ablösefrei
;;805772;01.07.2022;grasshopper club zurich u18;14543;Switzerland;grasshopper club zurich u21;5502;Switzerland;-;-
;;805772;01.07.2020;grasshopper club zurich jugend;59552;Switzerland;grasshopper club zurich u18;14543;Switzerland;-;-
;;423678;14.02.2020;tp mazembe;8428;DR Congo;bsc young boys;452;Switzerland;450 Tsd €;1,00 Mio €
;;423678;01.01.2016;cs don bosco;39376;DR Congo;tp mazembe;8428;DR Congo;-;?
;;423678;01.09.2014;;75;;cs don bosco;39376;DR Congo;-;?
;;243856;01.07.2022;glasgow rangers;124;Scotland;bsc young boys;452;Switzerland;2,00 Mio €;1,82 Mio €
;;243856;12.01.2022;spvgg greuther furth;65;Germany;glasgow rangers;124;Scotland;3,00 Mio €;Leih Ende
;;243856;31.08.2021;glasgow rangers;124;Scotland;spvgg greuther furth;65;Germany;3,50 Mio €;Leihe
;;243856;04.08.2020;fc st gallen 1879;257;Switzerland;glasgow rangers;124;Scotland;4,00 Mio €;3,00 Mio €
;;243856;01.07.2018;fc basel 1893;26;Switzerland;fc st gallen 1879;257;Switzerland;1,00 Mio €;430 Tsd €
;;243856;30.06.2018;fc st gallen 1879;257;Switzerland;fc basel 1893;26;Switzerland;1,00 Mio €;Leih Ende
;;243856;17.01.2018;fc basel 1893;26;Switzerland;fc st gallen 1879;257;Switzerland;600 Tsd €;Leihe
;;243856;13.09.2017;fc luzern;434;Switzerland;fc basel 1893;26;Switzerland;600 Tsd €;Leih Ende
;;243856;01.07.2016;fc basel 1893;26;Switzerland;fc luzern;434;Switzerland;250 Tsd €;Leihe
;;243856;30.04.2016;fc basel 1893 u21;5299;Switzerland;fc basel 1893;26;Switzerland;250 Tsd €;-
;;243856;01.01.2014;fc basel 1893 u18;14322;Switzerland;fc basel 1893 u21;5299;Switzerland;-;-
;;243856;01.07.2013;fc concordia basel jugend;43575;Switzerland;fc basel 1893 u18;14322;Switzerland;-;?
;;243856;01.07.2012;fc basel 1893 u16;32336;Switzerland;fc concordia basel jugend;43575;Switzerland;-;?
;;243856;01.07.2011;fc basel 1893 jugend;42366;Switzerland;fc basel 1893 u16;32336;Switzerland;-;-
;;243856;01.07.2007;bsc old boys jugend;24775;Switzerland;fc basel 1893 jugend;42366;Switzerland;-;?
;;410787;30.06.2021;fc stade lausanne ouchy;5499;Switzerland;bsc young boys;452;Switzerland;200 Tsd €;Leih Ende
;;410787;02.03.2021;bsc young boys;452;Switzerland;fc stade lausanne ouchy;5499;Switzerland;100 Tsd €;Leihe
;;410787;01.03.2021;fc lausanne sport ii;15446;Switzerland;bsc young boys;452;Switzerland;100 Tsd €;?
;;410787;22.07.2019;fc conthey;16292;Switzerland;fc lausanne sport ii;15446;Switzerland;-;ablösefrei
;;410787;30.07.2018;fc azzurri ls 90;36811;Switzerland;fc conthey;16292;Switzerland;-;ablösefrei
;;410787;30.07.2017;fc sion u18;14211;Switzerland;fc azzurri ls 90;36811;Switzerland;-;ablösefrei
;;312819;01.07.2023;vfl bochum;80;Germany;bsc young boys;452;Switzerland;600 Tsd €;ablösefrei
;;312819;30.06.2022;cercle brugge;520;Belgium;vfl bochum;80;Germany;600 Tsd €;Leih Ende
;;312819;25.01.2022;vfl bochum;80;Germany;cercle brugge;520;Belgium;800 Tsd €;Leihe
;;312819;05.07.2019;rsc anderlecht;58;Belgium;vfl bochum;80;Germany;700 Tsd €;400 Tsd €
;;312819;30.06.2019;vfl bochum;80;Germany;rsc anderlecht;58;Belgium;700 Tsd €;Leih Ende
;;312819;20.07.2018;rsc anderlecht;58;Belgium;vfl bochum;80;Germany;1,00 Mio €;Leihgebühr:300 Tsd €
;;312819;05.01.2018;kv mechelen;354;Belgium;rsc anderlecht;58;Belgium;1,20 Mio €;Leih Ende
;;312819;30.08.2017;rsc anderlecht;58;Belgium;kv mechelen;354;Belgium;1,20 Mio €;Leihe
;;312819;30.06.2017;kvc westerlo;968;Belgium;rsc anderlecht;58;Belgium;1,20 Mio €;Leih Ende
;;312819;01.02.2017;rsc anderlecht;58;Belgium;kvc westerlo;968;Belgium;900 Tsd €;Leihe
;;312819;31.01.2017;kvc westerlo;968;Belgium;rsc anderlecht;58;Belgium;900 Tsd €;1,20 Mio €
;;312819;25.07.2016;elazigspor;2292;Tï¿½rkiye;kvc westerlo;968;Belgium;400 Tsd €;ablösefrei
;;312819;25.07.2015;raja club athletic;2068;Morocco;elazigspor;2292;Tï¿½rkiye;100 Tsd €;?
;;312819;17.09.2014;patronage sainte anne;31599;Congo;raja club athletic;2068;Morocco;-;40 Tsd €
;;59238;01.07.2022;borussia dortmund;16;Germany;fc basel 1893;26;Switzerland;1,00 Mio €;ablösefrei
;;59238;01.07.2018;fc augsburg;167;Germany;borussia dortmund;16;Germany;4,00 Mio €;ablösefrei
;;59238;01.07.2013;vfl wolfsburg;82;Germany;fc augsburg;167;Germany;450 Tsd €;ablösefrei
;;59238;01.09.2008;fc st gallen 1879 u21;9178;Switzerland;vfl wolfsburg;82;Germany;50 Tsd €;ablösefrei
;;59238;31.08.2008;fc winterthur u21;14156;Switzerland;fc st gallen 1879 u21;9178;Switzerland;50 Tsd €;Leih Ende
;;59238;01.01.2008;fc st gallen 1879 u21;9178;Switzerland;fc winterthur u21;14156;Switzerland;-;Leihe
;;59238;31.12.2007;yverdon sport fc ii;8126;Switzerland;fc st gallen 1879 u21;9178;Switzerland;-;Leih Ende
;;59238;01.07.2007;fc st gallen 1879 u21;9178;Switzerland;yverdon sport fc ii;8126;Switzerland;-;Leihe
;;59238;01.07.2005;fco st gallen wil u18;9248;Switzerland;fc st gallen 1879 u21;9178;Switzerland;-;-
;;147027;01.07.2022;yverdon sport fc;322;Switzerland;fc basel 1893;26;Switzerland;150 Tsd €;?
;;147027;01.07.2021;grasshopper club zurich;504;Switzerland;yverdon sport fc;322;Switzerland;250 Tsd €;ablösefrei
;;147027;30.06.2019;fc luzern;434;Switzerland;grasshopper club zurich;504;Switzerland;400 Tsd €;Leih Ende
;;147027;05.07.2018;grasshopper club zurich;504;Switzerland;fc luzern;434;Switzerland;650 Tsd €;Leihgebühr:100 Tsd €
;;147027;01.07.2018;fc basel 1893;26;Switzerland;grasshopper club zurich;504;Switzerland;650 Tsd €;ablösefrei
;;147027;30.06.2017;fc lugano;2790;Switzerland;fc basel 1893;26;Switzerland;500 Tsd €;Leih Ende
;;147027;07.01.2016;fc basel 1893;26;Switzerland;fc lugano;2790;Switzerland;300 Tsd €;Leihe
;;147027;30.06.2015;fc biel bienne 1896;2155;Switzerland;fc basel 1893;26;Switzerland;300 Tsd €;Leih Ende
;;147027;01.07.2014;fc basel 1893;26;Switzerland;fc biel bienne 1896;2155;Switzerland;50 Tsd €;Leihe
;;147027;01.07.2012;fc basel 1893 u21;5299;Switzerland;fc basel 1893;26;Switzerland;50 Tsd €;-
;;147027;01.07.2011;fc basel 1893 u18;14322;Switzerland;fc basel 1893 u21;5299;Switzerland;-;-
;;147027;01.07.2009;fc basel 1893 u16;32336;Switzerland;fc basel 1893 u18;14322;Switzerland;-;-
;;147027;01.07.2009;team vaud yverdon region et broye jugend;7073;Switzerland;fc basel 1893 u16;32336;Switzerland;-;?
;;499195;01.07.2022;fc wil 1900;850;Switzerland;fc basel 1893;26;Switzerland;100 Tsd €;ablösefrei
;;499195;05.01.2021;fc basel 1893 u21;5299;Switzerland;fc wil 1900;850;Switzerland;50 Tsd €;?
;;499195;31.12.2020;fc wil 1900;850;Switzerland;fc basel 1893 u21;5299;Switzerland;50 Tsd €;Leih Ende
;;499195;01.10.2020;fc basel 1893 u21;5299;Switzerland;fc wil 1900;850;Switzerland;50 Tsd €;Leihe
;;499195;01.07.2019;fc basel 1893 u18;14322;Switzerland;fc basel 1893 u21;5299;Switzerland;-;-
;;499195;01.07.2018;fc basel 1893 u17;32337;Switzerland;fc basel 1893 u18;14322;Switzerland;-;-
;;499195;01.07.2017;fc basel 1893 u16;32336;Switzerland;fc basel 1893 u17;32337;Switzerland;-;-
;;625206;18.08.2023;nk osijek;327;Croatia;fc basel 1893;26;Switzerland;2,00 Mio €;3,00 Mio €
;;625206;30.06.2022;frosinone calcio;8970;Italy;nk osijek;327;Croatia;900 Tsd €;Leih Ende
;;625206;08.01.2022;nk osijek;327;Croatia;frosinone calcio;8970;Italy;300 Tsd €;Leihe
;;625206;01.07.2021;nk osijek ii;59009;Croatia;nk osijek;327;Croatia;200 Tsd €;-
;;625206;01.07.2019;nk osijek u19;11036;Croatia;nk osijek ii;59009;Croatia;-;-
;;625206;17.08.2018;rnk split u17;36358;Croatia;nk osijek u19;11036;Croatia;-;ablösefrei
;;625206;01.07.2016;rnk split jugend;36430;Croatia;rnk split u17;36358;Croatia;-;-
;;625206;24.08.2015;gnk dinamo zagreb jugend;36341;Croatia;rnk split jugend;36430;Croatia;-;ablösefrei
;;625206;05.12.2014;hnk hajduk split jugend;36360;Croatia;gnk dinamo zagreb jugend;36341;Croatia;-;ablösefrei
;;507488;05.01.2024;servette fc;61;Switzerland;fc basel 1893;26;Switzerland;1,70 Mio €;200 Tsd €
;;507488;07.02.2019;servette fc u21;25526;Switzerland;servette fc;61;Switzerland;-;-
;;507488;01.07.2018;servette fc u18;5506;Switzerland;servette fc u21;25526;Switzerland;-;-
;;507488;01.07.2016;servette fc jugend;70702;Switzerland;servette fc u18;5506;Switzerland;-;-
;;388542;01.07.2022;fc barcelona atletic;2464;Spain;fc basel 1893;26;Switzerland;1,00 Mio €;ablösefrei
;;388542;30.06.2020;ue olot;38456;Spain;fc barcelona atletic;2464;Spain;200 Tsd €;Leih Ende
;;388542;30.08.2019;fc barcelona atletic;2464;Spain;ue olot;38456;Spain;-;Leihe
;;388542;01.07.2019;fc barcelona u19;2470;Spain;fc barcelona atletic;2464;Spain;-;-
;;388542;01.07.2017;fc barcelona u18;39813;Spain;fc barcelona u19;2470;Spain;-;-
;;388542;01.07.2016;fc barcelona u16;14321;Spain;fc barcelona u18;39813;Spain;-;-
;;388542;01.07.2015;fc barcelona jugend;70295;Spain;fc barcelona u16;14321;Spain;-;-
;;705016;01.07.2023;ado den haag;1268;Netherlands;fc basel 1893;26;Switzerland;300 Tsd €;1,00 Mio €
;;705016;01.07.2022;ado den haag u21;17775;Netherlands;ado den haag;1268;Netherlands;25 Tsd €;-
;;705016;01.07.2021;ado den haag u18;45639;Netherlands;ado den haag u21;17775;Netherlands;-;-
;;705016;01.07.2020;ado den haag u17;36112;Netherlands;ado den haag u18;45639;Netherlands;-;-
;;705016;01.07.2019;ado den haag jugend;32790;Netherlands;ado den haag u17;36112;Netherlands;-;-
;;705016;01.07.2012;dhc delft jugend;66951;Netherlands;ado den haag jugend;32790;Netherlands;-;ablösefrei
;;1015823;14.03.2024;fc basel 1893 u21;5299;Switzerland;fc basel 1893;26;Switzerland;300 Tsd €;-
;;1015823;01.07.2023;fc basel 1893 u16;32336;Switzerland;fc basel 1893 u21;5299;Switzerland;-;-
;;1015823;01.07.2022;fc basel 1893 jugend;42366;Switzerland;fc basel 1893 u16;32336;Switzerland;-;-
;;1015823;25.08.2020;grasshopper club zurich jugend;59552;Switzerland;fc basel 1893 jugend;42366;Switzerland;-;ablösefrei
;;734676;03.08.2022;berekum chelsea ii;72619;Ghana;fc basel 1893;26;Switzerland;25 Tsd €;?
;;734676;01.03.2022;;75;;berekum chelsea ii;72619;Ghana;25 Tsd €;?
;;734676;01.09.2020;accra great olympics;11584;Ghana;;75;;25 Tsd €;?
;;359409;20.07.2023;grasshopper club zurich;504;Switzerland;fc basel 1893;26;Switzerland;2,50 Mio €;900 Tsd €
;;359409;07.08.2020;fc basel 1893;26;Switzerland;grasshopper club zurich;504;Switzerland;350 Tsd €;ablösefrei
;;359409;30.06.2020;fc wil 1900;850;Switzerland;fc basel 1893;26;Switzerland;350 Tsd €;Leih Ende
;;359409;15.01.2019;fc basel 1893;26;Switzerland;fc wil 1900;850;Switzerland;500 Tsd €;Leihe
;;359409;14.01.2019;fc lausanne sport;527;Switzerland;fc basel 1893;26;Switzerland;500 Tsd €;Leih Ende
;;359409;15.01.2018;fc basel 1893;26;Switzerland;fc lausanne sport;527;Switzerland;500 Tsd €;Leihe
;;359409;01.07.2017;fc basel 1893 u21;5299;Switzerland;fc basel 1893;26;Switzerland;-;-
;;359409;01.07.2016;fc basel 1893 u18;14322;Switzerland;fc basel 1893 u21;5299;Switzerland;-;-
;;359409;01.07.2015;fc basel 1893 u17;32337;Switzerland;fc basel 1893 u18;14322;Switzerland;-;-
;;359409;01.07.2014;fc basel 1893 u16;32336;Switzerland;fc basel 1893 u17;32337;Switzerland;-;-
;;743519;01.07.2022;olympique lyon b;12764;France;fc basel 1893;26;Switzerland;500 Tsd €;ablösefrei
;;743519;01.07.2021;olympique lyon u19;7813;France;olympique lyon b;12764;France;-;-
;;743519;01.07.2020;olympique lyon jugend;69570;France;olympique lyon u19;7813;France;-;-
;;523972;01.07.2021;real madrid castilla;6767;Spain;fc basel 1893;26;France;1,00 Mio €;ablösefrei
;;523972;30.06.2021;real valladolid promesas;7078;Spain;real madrid castilla;6767;Spain;1,00 Mio €;Leih Ende
;;523972;22.09.2020;real madrid castilla;6767;Spain;real valladolid promesas;7078;Spain;900 Tsd €;Leihe
;;523972;01.07.2018;real madrid u19;28870;Spain;real madrid castilla;6767;Spain;-;-
;;523972;01.07.2017;real madrid u18;39822;Spain;real madrid u19;28870;Spain;-;-
;;523972;01.07.2016;ud santa marta u19;77525;Spain;real madrid u18;39822;Spain;-;?
;;192167;25.08.2023;nottingham forest;703;England;fc basel 1893;26;Switzerland;900 Tsd €;420 Tsd €
;;192167;30.06.2023;fc luzern;434;Switzerland;nottingham forest;703;England;900 Tsd €;Leih Ende
;;192167;02.02.2022;nottingham forest;703;England;fc luzern;434;Switzerland;800 Tsd €;Leihe
