Verein Nr;Spieler Name;Spieler Nr;date;old club;old club nr;old club country;new club;new club nr;new club country;market value;transfer sum
434;Adrian Grbic;167342;01.01.2004;Wr. Viktoria J.;20460;Austria;Rapid Jugend;20134;Austria;-;?
434;Thibault Klidjé;575610;31.08.2022;G. Bordeaux B;10872;France;FC Luzern;434;Switzerland;300 Tsd. €;ablösefrei
434;Thibault Klidjé;575610;21.02.2020;Gomido FC;27784;Togo;G. Bordeaux B;10872;France;-;?
434;Thibault Klidjé;575610;01.07.2018;Espoir de Zio;103370;Togo;Gomido FC;27784;Togo;-;?
434;Thibault Klidjé;575610;01.07.2017;Gomido FC;27784;Togo;Espoir de Tsévié;103370;Togo;-;?
434;Kemal Ademi;333161;01.07.2023;Khimki;3719;Russia;FC Luzern;434;Switzerland;500 Tsd. €;ablösefrei
435;Kemal Ademi;333162;30.06.2023;SV Sandhausen;254;Germany;Khimki;3719;Russia;500 Tsd. €;Leih-Ende
436;Kemal Ademi;333163;16.08.2022;Khimki;3719;Russia;SV Sandhausen;254;Germany;1,00 Mio. €;Leihe
437;Kemal Ademi;333164;30.06.2022;SC Paderborn;127;Germany;Khimki;3719;Russia;1,00 Mio. €;Leih-Ende
438;Kemal Ademi;333165;31.01.2022;Khimki;3719;Russia;SC Paderborn;127;Germany;1,20 Mio. €;Leihe
439;Kemal Ademi;333166;10.08.2021;Fenerbahce;36;Türkiye;Khimki;3719;Russia;1,60 Mio. €;800 Tsd. €
440;Kemal Ademi;333167;30.06.2021;Karagümrük;6646;Türkiye;Fenerbahce;36;Türkiye;1,60 Mio. €;Leih-Ende
441;Kemal Ademi;333168;01.02.2021;Fenerbahce;36;Türkiye;Karagümrük;6646;Türkiye;2,00 Mio. €;Leihe
442;Kemal Ademi;333169;05.10.2020;FC Basel;26;Switzerland;Fenerbahce;36;Türkiye;2,40 Mio. €;1,39 Mio. €
443;Kemal Ademi;333170;01.07.2019;Neuchâtel Xamax;625;Switzerland;FC Basel;26;Switzerland;1,50 Mio. €;ablösefrei
444;Kemal Ademi;333171;05.07.2018;Hoffenheim II;983;Germany;Neuchâtel Xamax;625;Switzerland;25 Tsd. €;ablösefrei
445;Kemal Ademi;333172;01.04.2016;St. Gallen U21;9178;Switzerland;Hoffenheim II;983;Germany;25 Tsd. €;ablösefrei
446;Kemal Ademi;333173;31.03.2016;Hoffenheim II;983;Germany;St. Gallen U21;9178;Switzerland;25 Tsd. €;Leih-Ende
447;Kemal Ademi;333174;05.08.2015;St. Gallen U21;9178;Switzerland;Hoffenheim II;983;Germany;25 Tsd. €;Leihe
448;Kemal Ademi;333175;01.07.2014;St. Gallen U18;9248;Switzerland;St. Gallen U21;9178;Switzerland;-;-
